City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Meridian,43.6121,-116.3915,25.09,91,0,0.0,US,1644074665
Río Gallegos,-51.6226,-69.2181,66.25,32,40,14.97,AR,1644074665
Council Bluffs,41.2619,-95.8608,25.52,54,0,7.0,US,1644074666
Merke,42.8728,73.1786,35.6,39,0,7.85,KZ,1644074666
Mackenzie,55.2999,-123.1698,39.42,52,0,13.8,CA,1644074666
Nome,64.5011,-165.4064,-2.13,50,0,4.61,US,1644074634
Iranduba,-3.2847,-60.1861,84.49,70,100,2.84,BR,1644074667
Carutapera,-1.195,-46.02,78.62,89,100,3.06,BR,1644074667
Mojo,8.6,39.1167,74.79,13,2,14.81,ET,1644074667
Qinzhou,21.95,108.6167,57.96,63,80,2.95,CN,1644074668
Ploufragan,48.4914,-2.7946,51.58,71,100,11.5,FR,1644074668
Coyhaique,-45.5752,-72.0662,68.61,42,0,4.61,CL,1644074668
Oranjestad,12.524,-70.027,78.75,69,40,17.27,AW,1644074669
Egvekinot,66.3167,-179.1667,-10.32,86,8,13.56,RU,1644074669
Dulag,10.9525,125.0317,77.07,82,76,12.03,PH,1644074669
Harar,9.3094,42.1258,68.63,12,45,13.6,ET,1644074670
Zapolyarnyy,69.4154,30.8136,15.08,87,100,16.75,RU,1644074670
Ukiah,39.1502,-123.2078,52.03,82,0,0.0,US,1644074670
Muisne,0.6,-80.0333,82.51,94,94,4.41,EC,1644074671
Sakakah,29.9697,40.2064,58.57,47,63,16.42,SA,1644074598
Nanga Eboko,4.6833,12.3667,95.81,11,92,2.48,CM,1644074671
Beloha,-25.1667,45.05,78.24,77,100,18.68,MG,1644074672
Mbandaka,0.0487,18.2603,91.81,26,39,5.53,CD,1644074672
Mossamedes,-15.1961,12.1522,79.11,55,38,13.06,AO,1644074673
Hutchinson,38.0608,-97.9298,27.19,74,0,3.0,US,1644074565
Lucapa,-8.4192,20.7447,80.64,64,100,2.91,AO,1644074673
Tuatapere,-46.1333,167.6833,43.07,91,7,3.96,NZ,1644074673
Tadine,-21.55,167.8833,79.52,88,98,5.88,NC,1644074674
Mehamn,71.0357,27.8492,20.26,87,82,17.02,NO,1644074674
Poum,-20.2333,164.0167,80.4,72,78,4.68,NC,1644074674
Biak,-0.9131,122.8766,76.21,86,100,3.62,ID,1644074675
Mayfield,36.7417,-88.6367,23.34,76,0,6.62,US,1644074427
Northam,51.0333,-4.2167,52.43,86,100,26.11,GB,1644074675
Kamra,33.7473,73.5111,48.96,58,68,2.98,PK,1644074676
Pochutla,15.7432,-96.4661,80.82,44,0,3.22,MX,1644074676
Abu Samrah,35.3029,37.1841,49.96,65,5,10.58,SY,1644074676
Kahramanmaraş Province,38.0,37.0,38.03,93,5,2.35,TR,1644074677
Eyrarbakki,63.863,-21.1481,31.24,73,100,5.28,IS,1644074677
Shelburne,44.0787,-80.2041,9.05,83,20,6.91,CA,1644074677
Denpasar,-8.65,115.2167,82.06,83,40,12.66,ID,1644074678
Nhulunbuy,-12.2333,136.7667,77.61,94,100,0.0,AU,1644074678
Tura,25.5198,90.2201,52.29,88,51,0.13,IN,1644074678
Petrozavodsk,61.7849,34.3469,17.06,78,100,4.47,RU,1644074465
Trelew,-43.249,-65.3051,64.26,38,0,11.43,AR,1644074679
Caravelas,-17.7125,-39.2481,85.41,57,15,10.85,BR,1644074679
Shirokiy,49.758,129.523,-16.8,100,30,5.08,RU,1644074679
Saint-Joseph,-21.3667,55.6167,80.98,81,100,16.64,RE,1644074680
Juba,4.8517,31.5825,95.63,11,100,8.12,SS,1644074680
San Patricio,28.017,-97.5169,39.06,54,3,8.08,US,1644074680
Yumen,40.2833,97.2,16.54,36,100,16.49,CN,1644074681
Ostrovnoy,68.0531,39.5131,15.55,81,100,33.11,RU,1644074681
Port Macquarie,-31.4333,152.9167,64.36,67,100,15.32,AU,1644074681
Christchurch,-43.5333,172.6333,53.91,94,100,1.99,NZ,1644074594
Nuuk,64.1835,-51.7216,7.41,78,75,12.66,GL,1644074682
Coos Bay,43.3665,-124.2179,44.92,100,100,4.61,US,1644074682
Buchanan,5.8808,-10.0467,89.56,65,60,13.62,LR,1644074682
Oron,4.8256,8.2343,90.45,43,1,10.47,NG,1644074683
Carnot,4.9409,15.8665,96.89,9,57,7.05,CF,1644074683
Cilaos,-21.1336,55.4719,68.54,99,100,7.99,RE,1644074683
Yeppoon,-23.1333,150.7333,73.18,71,8,19.66,AU,1644074684
Upernavik,72.7868,-56.1549,1.26,95,100,4.56,GL,1644074684
Alexandria,31.2156,29.9553,58.82,63,1,13.0,EG,1644074685
Moree,-29.4667,149.85,64.42,63,8,9.22,AU,1644074685
Diffa,13.3154,12.6113,77.92,13,1,17.18,NE,1644074685
Aykhal,66.0,111.5,-25.01,100,79,5.97,RU,1644074685
La Tijera,19.9,-104.4,59.13,46,46,0.54,MX,1644074686
Gushikawa,26.3544,127.8686,58.23,58,100,11.5,JP,1644074686
Turbat,26.0023,63.044,72.21,47,0,12.71,PK,1644074686
Anzio,41.4853,12.6179,60.44,71,100,7.2,IT,1644074687
Van Buren,35.4368,-94.3483,33.4,74,0,1.01,US,1644074687
Abu Kamal,34.4506,40.9171,56.21,45,7,10.04,SY,1644074687
Roald,62.5833,6.1333,38.34,75,75,11.5,NO,1644074688
Kloulklubed,7.0419,134.2556,81.1,81,21,23.38,PW,1644074688
Chegem,43.2833,43.1333,8.69,86,91,8.61,RU,1644074688
Nouadhibou,20.931,-17.0347,75.18,64,0,13.8,MR,1644074689
Westport,41.1415,-73.3579,26.74,72,20,5.99,US,1644074673
Mayor Pablo Lagerenza,-19.9309,-60.7718,83.66,66,99,11.77,PY,1644074689
Shimoda,34.6667,138.95,35.1,67,2,23.31,JP,1644074690
Talnakh,69.4865,88.3972,-12.75,100,94,2.37,RU,1644074601
Mehrān,33.1222,46.1646,54.88,48,4,8.16,IR,1644074690
Lata,40.1629,-8.3327,67.5,45,4,7.58,PT,1644074690
Thunder Bay,48.4001,-89.3168,1.99,74,100,0.0,CA,1644074691
Bac Lieu,9.285,105.7244,79.11,69,87,19.1,VN,1644074691
Masuguru,-11.3667,38.4167,78.37,86,86,4.5,TZ,1644074691
Saint-Paul,-21.0096,55.2707,82.51,78,100,12.33,RE,1644074692
Alipur,29.3846,70.9116,63.61,26,0,6.22,PK,1644074692
Zhigansk,66.7697,123.3711,-33.7,100,100,4.81,RU,1644074692
Tres Arroyos,-38.3739,-60.2798,63.16,76,100,19.3,AR,1644074693
Beaverlodge,55.2166,-119.4361,36.36,62,34,25.52,CA,1644074693
Belmonte,-15.8631,-38.8828,81.1,78,100,7.94,BR,1644074693
Lodwar,3.1191,35.5973,93.79,20,100,7.49,KE,1644074694
Chilca,-12.5211,-76.7372,77.07,81,81,6.98,PE,1644074694
Vila Franca do Campo,37.7167,-25.4333,61.21,75,100,11.79,PT,1644074695
Karasjok,69.4719,25.5112,21.31,92,100,14.54,NO,1644074695
Yārāda,17.65,83.2667,73.72,73,20,2.3,IN,1644074695
Nantucket,41.2835,-70.0995,26.96,82,100,19.57,US,1644074493
Kinkala,-4.3614,14.7644,86.31,69,91,2.75,CG,1644074696
Strezhevoy,60.7333,77.5889,13.98,96,100,2.15,RU,1644074412
Balkanabat,39.5108,54.3671,44.1,76,97,15.41,TM,1644074696
Dukat,62.55,155.55,-22.92,75,4,2.39,RU,1644074696
Ayan,56.45,138.1667,-3.44,71,100,15.41,RU,1644074697
Say,13.1007,2.3689,86.56,8,4,10.94,NE,1644074697
Jidong,45.2167,131.0833,-6.9,91,35,6.38,CN,1644074698
Grand Gaube,-20.0064,57.6608,81.0,79,100,7.0,MU,1644074698
Along,28.1667,94.7667,47.91,98,100,2.39,IN,1644074699
Bayan,46.0833,127.4,-10.64,100,75,4.27,CN,1644074699
Sechura,-5.5569,-80.8222,77.59,60,71,5.53,PE,1644074699
Cockburn Town,21.4612,-71.1419,76.06,70,4,20.96,TC,1644074700
Sioux Lookout,50.1001,-91.917,-3.62,77,100,10.36,CA,1644074700
Crixás,-14.5489,-49.9692,86.65,63,52,1.99,BR,1644074700
Lodja,-3.4833,23.4333,79.16,65,97,1.21,CD,1644074701
Moses Lake,47.1301,-119.2781,37.6,93,100,4.61,US,1644074701
Urengoy,65.9667,78.3667,-12.3,100,68,4.99,RU,1644074701
Zakamensk,50.3741,103.2863,-1.84,95,100,3.76,RU,1644074702
Newcastle,-32.9272,151.7765,70.72,76,100,11.01,AU,1644074578
Inhambane,-23.865,35.3833,84.18,65,75,17.27,MZ,1644074703
Tibati,6.4667,12.6333,92.08,12,22,7.38,CM,1644074703
Thohoyandou,-22.9456,30.485,77.83,59,91,16.11,ZA,1644074704
Kisesa,-3.0833,34.15,68.63,81,100,5.61,TZ,1644074704
Juegang,32.3174,121.1855,36.91,60,62,6.91,CN,1644074704
Baijiantan,45.6333,85.1833,4.3,85,15,3.31,CN,1644074705
Soe,-9.8607,124.284,67.3,95,98,2.93,ID,1644074705
Wah,33.798,72.6957,56.01,36,100,2.8,PK,1644074705
Henties Bay,-22.116,14.2845,71.85,70,9,10.83,NA,1644074706
Kalmunai,7.4167,81.8167,76.51,77,4,10.51,LK,1644074706
La Seyne-sur-Mer,43.0982,5.8847,65.25,55,64,5.01,FR,1644074706
Kargopol',61.5071,38.9456,9.23,95,95,7.16,RU,1644074707
Clonakilty,51.6231,-8.8706,51.1,81,100,30.27,IE,1644074707
Mangaratiba,-22.9597,-44.0406,92.53,70,61,4.23,BR,1644074707
Acapulco de Juárez,16.8634,-99.8901,76.82,73,20,0.0,MX,1644074518
Pierre,44.3683,-100.351,33.28,51,0,9.22,US,1644074296
Ajdabiya,30.7554,20.2263,62.73,42,0,9.1,LY,1644074708
Qeshm,26.9581,56.2719,71.49,69,4,19.17,IR,1644074708
Revúca,48.6835,20.1173,42.3,70,26,1.99,SK,1644074709
Novo Oriente,-5.5344,-40.7742,88.3,50,77,5.88,BR,1644074709
Juneau,58.3019,-134.4197,39.2,94,100,5.99,US,1644074686
Ahome,25.9167,-109.1833,53.55,65,20,3.33,MX,1644074710
Koumac,-20.5667,164.2833,77.67,80,66,0.69,NC,1644074710
Teguise,29.0605,-13.564,66.42,64,0,9.22,ES,1644074710
Road Town,18.4167,-64.6167,75.24,88,40,9.22,VG,1644074464
Charter Township of Clinton,42.587,-82.9199,18.84,80,17,0.98,US,1644074710
Bria,6.5423,21.9863,97.05,11,84,7.58,CF,1644074711
Atar,20.5169,-13.0499,90.64,5,0,5.48,MR,1644074711
Sørland,67.667,12.6934,40.84,79,84,26.57,NO,1644074533
Gueugnon,46.6036,4.0629,47.17,55,7,4.83,FR,1644074712
Dudinka,69.4058,86.1778,-15.5,100,96,4.21,RU,1644074713
Oddur,4.1213,43.8894,90.3,13,35,10.0,SO,1644074713
Qiqihar,47.3408,123.9672,-3.71,91,77,6.08,CN,1644074713
Vicuña,-30.0319,-70.7081,88.77,26,0,7.16,CL,1644074714
Gambiran,-6.7988,111.4951,76.14,92,100,5.28,ID,1644074714
Salinas,36.6777,-121.6555,53.98,64,0,6.91,US,1644074516
Cabedelo,-6.9811,-34.8339,86.67,60,9,11.88,BR,1644074714
Henderson,36.0397,-114.9819,42.12,36,0,6.91,US,1644074425
Nemuro,43.3236,145.575,22.59,70,93,21.59,JP,1644074715
Talcahuano,-36.7167,-73.1167,69.48,56,0,8.05,CL,1644074715
Waitara,-38.925,174.25,69.22,96,100,21.61,NZ,1644074715
Klaksvík,62.2266,-6.589,38.32,69,99,41.38,FO,1644074716
Buluang,13.3068,123.3425,71.65,93,45,4.43,PH,1644074716
Arman',59.7,150.1667,2.01,71,23,12.19,RU,1644074717
Sefophe,-22.1833,27.9667,85.42,34,79,10.4,BW,1644074717
Pevek,69.7008,170.3133,-28.19,99,20,2.82,RU,1644074717
Boende,-0.2167,20.8667,96.62,25,73,1.77,CD,1644074718
Chumikan,54.7183,135.315,-0.74,74,100,12.35,RU,1644074718
Mandan,46.8267,-100.8896,38.03,74,75,25.32,US,1644074448
Verkhoyansk,67.5447,133.385,-43.8,100,59,1.34,RU,1644074719
Swan Hill,-35.3378,143.5544,69.01,36,88,6.42,AU,1644074719
Sulangan,11.1373,123.7228,80.13,74,55,20.62,PH,1644074720
Panjāb,34.388,67.0233,19.89,97,97,4.29,AF,1644074720
Jinchang,38.4953,102.1739,15.91,83,100,6.2,CN,1644074720
Ciudad de Armería,18.9333,-103.9667,76.3,53,35,2.82,MX,1644074721
Hobyo,5.3505,48.5268,77.85,67,14,14.9,SO,1644074721
Bani Walid,31.7566,13.9942,72.45,14,66,5.73,LY,1644074721
Shingū,33.7333,135.9833,38.91,65,13,12.21,JP,1644074722
Jatiroto,-7.8833,111.1167,75.0,88,96,1.19,ID,1644074722
Berdigestyakh,62.0989,126.6992,-21.41,100,99,0.4,RU,1644074722
La Sarre,48.8002,-79.1996,-6.99,94,40,4.81,CA,1644074723
Yazman,29.1212,71.7446,66.51,25,0,9.4,PK,1644074724
Provost,52.3501,-110.2683,14.18,97,88,4.7,CA,1644074724
Cherskiy,68.75,161.3,-32.84,96,15,1.92,RU,1644074724
Monrovia,6.3005,-10.7969,89.37,64,11,13.49,LR,1644074725
Inuvik,68.3499,-133.7218,-33.74,71,0,0.0,CA,1644074483
Suez,29.9737,32.5263,61.45,42,20,6.24,EG,1644074725
Fare,-16.7,-151.0167,80.62,70,9,15.57,PF,1644074726
Scarborough,54.2797,-0.4044,49.08,80,100,7.0,GB,1644074726
Shahreza,32.0339,51.8794,39.0,41,0,8.05,IR,1644074726
Riohacha,11.5444,-72.9072,86.11,54,40,11.5,CO,1644074727
Porbandar,21.6422,69.6093,69.24,61,0,6.78,IN,1644074727
Port-Cartier,50.0334,-66.8654,3.74,73,100,6.73,CA,1644074727
Winnemucca,40.973,-117.7357,33.28,45,76,1.74,US,1644074728
Cuenca,-2.8833,-78.9833,64.53,59,20,3.44,EC,1644074454
